path	origin	license	attribution	modification_notice_required	modification_notice_location	approval_ref	notes
LICENSE	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Root Apache-2.0 license retained.
NOTICE	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Root attribution and non-affiliation notice.
README.md	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Public identity surface references fork origin and Apache attribution.
Makefile	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and test command surface.
scripts/benchmark-gateway-overhead.sh	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Direct-versus-gateway latency regression gate.
scripts/benchmark-gateway-overhead-loop.sh	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Periodic direct-versus-gateway latency measurement loop.
scripts/publish-beta-local.sh	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Exact-SHA local beta publication lane.
scripts/verify-beta-local.sh	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Local beta archive verification helper.
scripts/validate-migration-manifest.sh	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Dependency-free migration compatibility manifest validator.
.github/workflows/frankengate-beta.yml	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Fast local-tested beta publication workflow.
.github/workflows/frankengate-image-release-native.yml	local-fork	Apache-2.0	FrankenGate contributors	no	none	none	Native image release workflow.
helm-charts/bifrost/Chart.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm chart metadata.
helm-charts/bifrost/README.md	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm chart documentation.
helm-charts/bifrost/templates/configmap.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/deployment.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/hpa.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/ingress.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/postgresql-deployment.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/postgresql-pvc.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/postgresql-service.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/qdrant-deployment.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/qdrant-pvc.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/qdrant-service.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/rbac.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/redis-deployment.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/redis-pvc.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/redis-service.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/secrets.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/service-headless.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/service.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/serviceaccount.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/stateful.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/weaviate-deployment.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/weaviate-pvc.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/templates/weaviate-service.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm template.
helm-charts/bifrost/values-examples/external-postgres.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/mixed-backend.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/postgres-only.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/postgres-qdrant.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/postgres-redis.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/postgres-weaviate.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/production-ha.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/providers-and-virtual-keys.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/templates/prometheusrule.yaml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Optional Prometheus Operator alert rule template.
helm-charts/bifrost/templates/servicemonitor.yaml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Optional Prometheus Operator scrape template.
helm-charts/bifrost/values-examples/monitoring-prometheus.yaml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Prometheus monitoring values example.
helm-charts/bifrost/values-examples/secrets-from-k8s.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/semantic-cache-secret-example.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/sqlite-only.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/sqlite-qdrant.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values-examples/sqlite-redis.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
